scenario,description,seed,delivered_packages,pending_packages,average_delivery_time,average_waiting_time,total_cost,total_income,gross_profit,moto_distance,furgoneta_distance,moto_trips,furgoneta_trips
A1,Alta demanda con flota de motos,,189,13,1.2562110866649208,0.7374332053567124,2887349.1304654325,8420000.0,5532650.869534567,3925.040897161479,0.0,189,0
A1,Alta demanda con flota de motos,,183,10,0.968051433472599,0.4260819994676443,2865972.3579409556,8340000.0,5474027.642059045,3880.2004790537912,0.0,183,0
A1,Alta demanda con flota de motos,,175,28,1.398161476594097,0.8381798170063558,2846211.2807287727,7800000.0,4953788.719271228,3838.7491812286444,0.0,175,0
A1,Alta demanda con flota de motos,,178,14,1.2693681983773357,0.6992923943421087,2949626.94800563,8790000.0,5840373.05199437,4055.67630407985,0.0,178,0
A1,Alta demanda con flota de motos,,173,10,0.9145722993336728,0.40157109102750616,2742464.6135328766,7590000.0,4847535.386467123,3621.127745204271,0.0,173,0
A1,Alta demanda con flota de motos,,168,19,1.179309450592569,0.609416422805265,2811992.8719951524,7240000.0,4428007.128004847,3766.971846608159,0.0,168,0
A1,Alta demanda con flota de motos,,182,24,1.0816328677894684,0.5112449827787167,2899950.06292704,8710000.0,5810049.937072961,3951.4729078627224,0.0,182,0
A1,Alta demanda con flota de motos,,174,45,1.7955419830532307,1.2219977255493988,2839128.668382001,7520000.0,4680871.331617999,3823.8925278886513,0.0,174,0
A1,Alta demanda con flota de motos,,179,25,1.5804656448439636,1.016542118631532,2895472.8766344273,7870000.0,4974527.123365573,3942.081457161885,0.0,179,0
A1,Alta demanda con flota de motos,,180,20,1.4509299183546798,0.8686839126883497,2974431.4608970694,8150000.0,5175568.539102931,4107.706830565361,0.0,180,0
A1,Alta demanda con flota de motos,,177,23,1.5759332650169864,1.0046082596290278,2899861.2454721658,8360000.0,5460138.754527834,3951.2866022917015,0.0,177,0
A1,Alta demanda con flota de motos,,184,44,1.5633170540299073,1.0247848840367593,2960055.348936674,8020000.0,5059944.651063326,4077.5511618212226,0.0,184,0
A1,Alta demanda con flota de motos,,181,3,0.7575438126761671,0.23041332480220375,2799744.0164885144,8630000.0,5830255.983511485,3741.278360763686,0.0,181,0
A1,Alta demanda con flota de motos,,182,32,1.6000348494284813,1.03478876982894,2938501.0827188147,8460000.0,5521498.917281185,4032.3384287902363,0.0,182,0
A1,Alta demanda con flota de motos,,177,28,1.396088435484058,0.8371664273907166,2854041.282748557,8060000.0,5205958.717251442,3855.1735766301963,0.0,177,0
A1,Alta demanda con flota de motos,,182,28,1.0196035175711615,0.48073300822555054,2851443.0915825088,8060000.0,5208556.908417491,3849.723550061594,0.0,182,0
A1,Alta demanda con flota de motos,,183,20,1.170171675431714,0.6178114149437766,2926304.9973646794,8390000.0,5463695.002635321,4006.755634852087,0.0,183,0
A1,Alta demanda con flota de motos,,178,29,1.3184343857220564,0.7498478483534924,2953289.386665232,8040000.0,5086710.6133347675,4063.3587210865385,0.0,178,0
A1,Alta demanda con flota de motos,,177,30,1.1755167248672516,0.6179075539079563,2890143.2690564985,7960000.0,5069856.730943501,3930.9019476325293,0.0,177,0
A1,Alta demanda con flota de motos,,180,25,1.067882467254699,0.5083021504992516,2890940.8548033563,7950000.0,5059059.145196644,3932.5749821528175,0.0,180,0
